genero,edad,area,modalidad_cursado,nombre_de_la_oferta,fecha_inicio,finalizacion
Masculino,44,Direccion general cuerpo de agentes de transito,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,42,Direccion general primer nivel de atencion,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,49,Delegacion municipal,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,33,Direccion general de obras hidricas,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,33,Secretaria de movilidad urbana y seguridad ciudadana,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,40,Subsecretaria de transito y seguridad vial,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,35,Recoleccion de residuos,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,43,Salud,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,41,Subsecretaria de transito y seguridad vial,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
NULL,NULL,Auxiliar de playa guardia y secuestros,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,40,Direccion general cuerpo de agentes de transito,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,32,Delegacion municipal,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,32,Subsecretaria de transito y seguridad vial,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,45,Direccion residuos peligrosos toxico y patologicos,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,32,Delegacion municipal,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,48,Subsecretaria de transito y seguridad vial,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,44,Delegacion municipal,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,41,Subsecretaria de transito y seguridad vial,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,32,Subsecretaria de transito y seguridad vial,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,42,Subsecretaria de transito y seguridad vial,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,32,Subsecretaria de transito y seguridad vial,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,33,Direccion general de recoleccion de residuos,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,34,Subsecretaria de turismo,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,37,Subsecretaria de transito y seguridad vial,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Masculino,36,Subsecretaria de transito y seguridad vial,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,34,Palacio municipal,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
Femenino,31,Subsecretaria de transito,Concurso,Convocatoria interna para agentes de transito,09-06-2021,11-06-2021
