genero,edad,area,modalidad_cursada,nombre_actividad,fecha_inicio,fecha_fin
Masculino,53,DPTO. DE PROYECTOS,CURSO ,ORATORIA III,9/3/2021,23/03/2021
Femenino,29,DIRECCION GENERAL DE NINEZ ADOLESCENCIA Y FAMILIA,CURSO ,ORATORIA III,9/3/2021,23/03/2021
Femenino,35,DIRECCION GRAL. DE RR HH,CURSO ,ORATORIA III,9/3/2021,23/03/2021
Femenino,22,DIR. GRAL. DE DELEGACIONES BARRIALES,CURSO ,ORATORIA III,9/3/2021,23/03/2021
Femenino,53,DPTO. DE NOTIFICACIONES,CURSO ,ORATORIA III,9/3/2021,23/03/2021
Masculino,42,SUBSEC. DE TRANSITO Y SEGURIDAD VIAL,CURSO ,ORATORIA III,9/3/2021,23/03/2021
Masculino,63,DIR. DE OBRAS HIDRICAS,CURSO ,ORATORIA III,9/3/2021,23/03/2021
Femenino,41,DIRECCION GRAL. DE RR HH,CURSO ,"EDUCACION FINANCIERA: ECONOMIA FAMILIAR, HERRAMIENTAS PARA DECIDIR MEJOR",19/4/2021,10/06/2021
Masculino,31,DIRECCION GENERAL DE DEFUNCIONES,CURSO ,"EDUCACION FINANCIERA: ECONOMIA FAMILIAR, HERRAMIENTAS PARA DECIDIR MEJOR",19/4/2021,10/06/2021
Femenino,46,DIRECCION GRAL. DE RR HH,CURSO ,"EDUCACION FINANCIERA: ECONOMIA FAMILIAR, HERRAMIENTAS PARA DECIDIR MEJOR",19/4/2021,10/06/2021
Femenino,60,SUBSEC. DE GESTION INTEGRAL DE RIESGOS Y CATASTROFES,CURSO ,"EDUCACION FINANCIERA: ECONOMIA FAMILIAR, HERRAMIENTAS PARA DECIDIR MEJOR",19/4/2021,10/06/2021
Femenino,22,DIR. GRAL. DE DELEGACIONES BARRIALES,CURSO ,"EDUCACION FINANCIERA: ECONOMIA FAMILIAR, HERRAMIENTAS PARA DECIDIR MEJOR",19/4/2021,10/06/2021
Masculino,34,DIRECCION GRAL. DE RR HH,CURSO ,"EDUCACION FINANCIERA: ECONOMIA FAMILIAR, HERRAMIENTAS PARA DECIDIR MEJOR",19/4/2021,10/06/2021
Femenino,41,SUBSEC. DE GESTION INTEGRAL DE RIESGOS Y CATASTROFES,CURSO ,"EDUCACION FINANCIERA: ECONOMIA FAMILIAR, HERRAMIENTAS PARA DECIDIR MEJOR",19/4/2021,10/06/2021
Femenino,42,DIR. DE DEFUNCIONES,CURSO ,"EDUCACION FINANCIERA: ECONOMIA FAMILIAR, HERRAMIENTAS PARA DECIDIR MEJOR",19/4/2021,10/06/2021
Femenino,50,SEC. DE MOVILIDAD URBANA Y SEGURIDAD CIUDADANA,CURSO ,"EDUCACION FINANCIERA: ECONOMIA FAMILIAR, HERRAMIENTAS PARA DECIDIR MEJOR",19/4/2021,10/06/2021
Femenino,58,DIR. GRAL. DE ATENCION Y CERCANIA CIUDADANA,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,47,SUBSECRETARIA  DE DEPORTE,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,40,DELEGACION PIRAYUI NUEVO,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,29,DIRECCION GENERAL DE NINEZ ADOLESCENCIA Y FAMILIA,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,46,SUBSEC. DE CONTRALOR AMBIENTAL,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,55,DIRECCION GENERAL DE DESPACHO,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
NULL,NULL,NULL,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,55,SALUD,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,50,DIR. GRAL. DE ATENCION Y CERCANIA CIUDADANA,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,44,DIR. GRAL. PRIMER NIVEL DE ATENCION,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,56,DIRECCION ADMINISTRACION,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,36,DIR. GRAL. DE ATENCION Y CERCANIA CIUDADANA,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Masculino,37,SECRETARIA PRIVADA,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,39,DIR. GRAL. DE LA NINEZ,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Masculino,61,SUBSECRETARIA DE SALUD,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,46,DIR. GRAL. PRIMER NIVEL DE ATENCION,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Masculino,43,MESA DE ENTRADA SUBSECRETARIA DE TRANSITO,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,48,DIR. GRAL. DE DELEGACIONES BARRIALES,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,51,DELEGACION,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,49,DIR.V. DE CONTROL DE INFRACCIONES,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
